gist class,Top-Level,Rigidity (Phil),Rigidity (Pel),Rigidity (Dylan),Rigidity (Rebecca),Rigidity(consensus),Provides Identity (Phil),Provides Identity (Pel),Provides Identity (Dylan),Provides Identity (Will),Provides Identity (Rebecca),Provides Identity (consensus),inherits identity from,UFO stereotype the class belongs to,Intital Agreement?,Notes
gist:NetworkNode,No,Anti-rigid,Anti-rigid,Anti-rigid,Semi-rigid,Anti-rigid,no,no,no,,,,,,TRUE,
gist:Obligation,No,Rigid,Rigid,Rigid,,Rigid,,no,no,,,,,,FALSE,
gist:Offer,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,no,inherits from superclass,,,,Relator ??,FALSE,
gist:OrderedCollection,No,Anti-rigid,Rigid,Rigid,Rigid,Rigid,yes,no,no,,,,,Subkind,FALSE,
gist:OrderedMember,No,Anti-rigid,Rigid,Rigid,Rigid,Rigid,yes,no,yes,,yes,,,,FALSE,
gist:Organization,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,,,,Kind,TRUE,
gist:Permission,No,Rigid,Semi-rigid,Rigid,Rigid,Rigid,,no,yes,yes,,,,,FALSE,Suggestion to tweak definition: description --> intention; suggestion to add giver / recipient
gist:Person,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,yes,yes,yes,,,Kind,FALSE,
gist:PhysicalActionType,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,,,,,FALSE,
gist:PhysicalAddress,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,no,yes,yes,,,,FALSE,
gist:PhysicalAddressType,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,,,,,FALSE,
gist:PhysicalEvent,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,,,,,,FALSE,
gist:PhysicalIdentifiableItem,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,no,yes,no,yes,,,,FALSE,
gist:PhysicalSubstance,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,,yes,inherits from superclass,,,,Quantity,FALSE,
gist:ProductCategory,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,,,,,FALSE,
gist:ProductSpecification,No,Anti-rigid,Rigid,Rigid,Rigid,Anti-rigid,inherited,no,no,inherits from superclass,,,,,FALSE,"Revisit skos:definition: ""An offer of…"""
gist:Project,No,Rigid,Rigid,Rigid,,Rigid,,no,no,,,,,,FALSE,
gist:ReferenceValue,No,Anti-rigid,Rigid,Rigid,Rigid,Anti-rigid,inherited,no,no,inherits from superclass,yes,,gist:Magnitude,,FALSE,What makes it a reference value is the way it is used as a standard or goal.
gist:RenderedContent,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,,yes,inherits from superclass,yes,,,Subkind,FALSE,
gist:Requirement,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,yes,yes,,,,,FALSE,
gist:Restriction,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,yes,yes,,,,,FALSE,
gist:ScheduledEvent,No,Anti-rigid,Anti-rigid,Anti-rigid,Rigid,Anti-rigid,,no,no,,,,,,FALSE,
gist:ScheduledTask,No,Anti-rigid,Anti-rigid,Anti-rigid,Rigid,Anti-rigid,,no,no,,,,,,FALSE,
gist:ServiceSpecification,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,no,inherits from superclass,,,,,FALSE,
gist:Specification,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,,,,,TRUE,
gist:SubCountryGovernment,No,Rigid,Semi-rigid,Anti-rigid,Rigid,Anti-rigid,inherited,no,no,inherits from superclass,yes,,,,FALSE,
gist:System,No,Rigid,Rigid,Rigid,Rigid,Rigid,,yes,yes,inherits from superclass,,,,,FALSE,
gist:Tag,No,Anti-rigid,Rigid,Anti-rigid,Rigid,Rigid,,no,no,inherits from superclass,yes,,,,FALSE,
gist:Task,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,,,,,,FALSE,
gist:TaskTemplate,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,no,inherits from superclass,,,,,FALSE,
gist:Template,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,,,,,TRUE,
gist:TemporalRelation,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,yes,,,,TRUE,
gist:Text,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,no,no,inherits from superclass,yes,,,,FALSE,
gist:TimeInterval,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,yes,yes,,Kind,TRUE,
gist:Transaction,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,yes,yes,,,,FALSE,
gist:UnitGroup,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,no,no,inherits from superclass,yes,,,,FALSE,
gist:UnitOfMeasure,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,yes,yes,,Kind,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,formulas end here,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Rigid,,
,,,,,,,,,,,,,,Semi-rigid,,
,,,,,,,,,,,,,,Anti-rigid,,
,,,,,,,,,,,,,,yes,,
,,,,,,,,,,,,,,no,,
,,,,,,,,,,,,,,inherits from superclass,,
